Average,Sales
1,32.0
2,172.75
3,135.88
4,149.4468085106383
5,113.48717948717949
6,145.23287671232876
7,156.29545454545453
8,94.1144578313253
9,104.11413043478261
10,122.02415458937197
11,97.11979166666667
12,126.24444444444444
13,112.53614457831326
14,120.54140127388536
15,138.48076923076923
16,115.36641221374046
17,116.00763358778626
18,97.47154471544715
19,132.06060606060606
20,122.6086956521739
21,128.21428571428572
22,125.85454545454546
23,173.08510638297872
24,147.3658536585366
25,96.7741935483871
26,196.48837209302326
27,133.07142857142858
28,114.6
29,97.83333333333333
30,205.20689655172413
31,158.6153846153846
32,99.6923076923077
33,221.5
34,347.8333333333333
35,378.9166666666667
36,116.07692307692308
37,209.5
38,231.71428571428572
39,194.2
40,306.4166666666667
41,378.2
42,408.3333333333333
43,286.0
44,507.0
45,362.0
46,211.5
47,110.5
48,129.5
49,871.0
50,347.0
54,655.0
55,78.0
56,415.0
58,14.0
59,100.0
62,504.5
