year,title,length,score,sales,genre
Family,Family,Family,Family,Family,Family
Family,Family,Family,Family,Family,Family
1999,Bicentennial Man,16,69,93,Comedy
1999,Man on the Moon,15,69,47,Comedy
1999,Galaxy Quest,12,69,90,Comedy
1999,The Talented Mr. Ripley,23,70,128,Thriller
1999,Play It to the Bone,19,57,8,Comedy
2000,Next Friday,11,64,59,Comedy
2000,Supernova,9,49,14,Horror
2000,Isn't She Great,15,46,3,Drama
2000,The Broken Hearts Club: A Romantic Comedy,41,63,1,Comedy
2000,Scream 3,8,57,161,Horror
2000,Gun Shy,7,54,1,Action
Family,Family,Family,Family,Family,Family
2000,The Beach,9,63,144,Drama
2000,Hanging Up,10,50,36,Comedy
2000,The Whole Nine Yards,20,62,106,Comedy
2000,Pitch Black,11,67,53,Thriller
2000,Boiler Room,11,65,28,Crime
2000,Reindeer Games,14,54,32,Thriller
2000,3 Strikes,9,59,9,Action
2000,The Next Best Thing,19,43,24,Comedy
2000,Drowning Mona,13,54,15,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2000,The Perfect Storm,17,62,325,Drama
2000,Final Destination,17,64,53,Horror
2000,High Fidelity,13,70,47,Comedy
2000,Erin Brockovich,15,71,256,Drama
2000,Romeo Must Die,14,60,91,Action
2000,Whatever It Takes,17,50,9,Drama
2000,The Skulls,10,58,35,Crime
2000,The Road to El Dorado,21,70,76,Adventure
2000,Return to Me,12,61,36,Romance
2000,Ready to Rumble,15,47,12,Action
2000,American Psycho,15,73,34,Thriller
2000,Keeping the Faith,17,59,37,Comedy
2000,U-571,5,61,127,Action
2000,Love & Basketball,17,74,27,Action
2000,Gossip,6,55,5,Drama
2000,Where the Heart Is,18,69,33,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2000,Frequency,9,70,68,Crime
2000,Gladiator,9,79,457,Action
2000,Michael Jordan to the Max,25,75,21,Documentary
2000,Battlefield Earth,17,30,21,Action
2000,Center Stage,12,68,17,Drama
2000,Shadow of the Vampire,21,66,8,Drama
2000,Dancer in the Dark,18,76,40,Drama
2000,Billy Elliot,12,74,110,Drama
2000,Road Trip,9,59,119,Comedy
Family,Family,Family,Family,Family,Family
2000,Mission: Impossible II,22,59,546,Adventure
2000,Shanghai Noon,13,62,56,Adventure
2000,Big Momma's House,17,56,173,Crime
2000,Gone in Sixty Seconds,21,61,237,Action
2000,Shaft,5,55,107,Action
Family,Family,Family,Family,Family,Family
2000,Boys and Girls,14,54,20,Comedy
2000,Amores perros,13,76,20,Drama
Family,Family,Family,Family,Family,Family
2000,"Me, Myself & Irene",18,61,149,Comedy
2000,The Patriot,11,68,215,Drama
2000,The Adventures of Rocky & Bullwinkle,36,39,35,Action
2000,The Kid,7,60,69,Fantasy
2000,Pokémon: Spell of the Unknown,30,59,68,Adventure
2000,X-Men,5,68,296,Adventure
2000,The In Crowd,12,47,5,Thriller
2000,What Lies Beneath,17,63,155,Drama
2000,Nutty Professor II: The Klumps,30,47,123,Fantasy
2000,Coyote Ugly,11,58,113,Comedy
2000,Space Cowboys,13,63,128,Action
2000,Hollow Man,10,56,190,Action
2000,The Cell,8,60,104,Horror
2000,The Art of War,14,56,30,Crime
2000,Bring It On,11,58,90,Comedy
2000,"O Brother, Where Art Thou?",26,73,71,Action
2000,Snatch,6,77,83,Thriller
2000,Highlander: Endgame,19,44,15,Action
2000,The Way of the Gun,18,64,19,Action
2000,Brother,7,68,15,Crime
2000,Men of Honor,12,70,48,Drama
2000,Almost Famous,13,74,47,Drama
2000,Urban Legends: Final Cut,24,44,38,Horror
2000,The House of Mirth,18,64,5,Drama
2000,Remember the Titans,19,74,136,Drama
2000,"Crouching Tiger, Hidden Dragon",30,72,213,Adventure
2000,Meet the Parents,16,66,330,Comedy
2000,Get Carter,10,48,19,Action
2000,102 Dalmatians,14,51,183,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
2000,Pay It Forward,14,70,55,Drama
2000,The Ladies Man,14,57,13,Comedy
2000,Bedazzled,9,56,90,Fantasy
2000,The Little Vampire,18,61,13,Family
2000,Requiem for a Dream,19,79,7,Crime
2000,The Legend of Bagger Vance,26,63,39,Fantasy
2000,Charlie's Angels,16,56,264,Action
2000,Red Planet,10,54,33,Thriller
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2000,How the Grinch Stole Christmas,30,62,345,Family
2000,Quills,6,68,7,Drama
2000,Vertical Limit,14,59,215,Action
2000,The Emperor's New Groove,24,72,169,Adventure
2000,Miss Congeniality,17,61,212,Comedy
2000,Chocolat,8,68,152,Comedy
2000,What Women Want,15,61,374,Comedy
2000,"Dude, Where’s My Car?",23,52,73,Comedy
2000,Finding Forrester,17,70,80,Drama
2000,Dracula 2000,12,46,33,Thriller
2000,Cast Away,9,75,429,Adventure
2000,Thirteen Days,13,69,34,Drama
2000,Traffic,7,69,207,Thriller
2001,The Pledge,10,65,29,Crime
2001,Save the Last Dance,19,63,91,Drama
2001,Antitrust,9,58,18,Action
2001,Super Troopers,14,66,18,Comedy
2001,Donnie Darko,12,77,1,Fantasy
2001,L.I.E.,6,67,1,Drama
2001,The Wedding Planner,19,55,94,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2001,Head Over Heels,15,53,10,Comedy
2001,Saving Silverman,16,54,19,Comedy
2001,The Tailor of Panama,20,62,28,Drama
2001,Sweet November,14,64,65,Drama
2001,Monkeybone,10,43,5,Adventure
2001,3000 Miles to Graceland,23,58,18,Action
2001,The Mexican,11,58,147,Action
2001,15 Minutes,10,57,56,Action
2001,Moulin Rouge!,13,74,179,Drama
2001,Exit Wounds,11,53,79,Action
Action,Action,Action,Action,Action,Action
2001,Spy Kids,8,55,147,Action
2001,Tomcats,7,49,23,Comedy
2001,Blow,4,74,83,Crime
2001,Along Came a Spider,19,61,105,Crime
Drama,Drama,Drama,Drama,Drama,Drama
2001,The Other Side of Heaven,24,67,4,Action
2001,Crocodile Dundee in Los Angeles,31,47,39,Adventure
2001,Bridget Jones's Diary,21,65,281,Comedy
2001,Kissing Jessica Stein,21,59,10,Comedy
2001,Amélie,7,78,173,Comedy
2001,Town & Country,14,37,10,Comedy
2001,Driven,6,45,54,Action
2001,The Mummy Returns,17,60,433,Adventure
2001,A Knight's Tale,15,66,117,Adventure
2001,Angel Eyes,10,56,29,Drama
2001,Shrek,5,73,484,Adventure
2001,Mulholland Drive,16,76,20,Thriller
2001,Pearl Harbor,12,66,449,History
2001,The Animal,10,46,84,Action
Family,Family,Family,Family,Family,Family
2001,Swordfish,9,61,147,Action
2001,Y Tu Mamá También,19,73,33,Drama
2001,Lara Croft: Tomb Raider,23,57,274,Adventure
2001,The Fast and the Furious,24,66,207,Action
2001,Dr. Dolittle 2,14,49,176,Comedy
2001,Baby Boy,8,74,29,Crime
2001,Crazy/Beautiful,15,66,16,Drama
2001,A.I. Artificial Intelligence,28,68,235,Drama
2001,Jeepers Creepers,16,61,59,Horror
2001,Final Fantasy: The Spirits Within,33,59,85,Adventure
2001,Scary Movie 2,13,54,141,Comedy
2001,Cats & Dogs,11,50,93,Comedy
2001,Kiss of the Dragon,18,64,64,Action
2001,Shaolin Soccer,14,66,42,Action
2001,The Score,9,67,71,Action
2001,Made,4,63,5,Action
2001,Legally Blonde,14,61,141,Comedy
2001,Jurassic Park III,17,57,368,Adventure
2001,Spirited Away,13,83,274,Fantasy
2001,Jason X,7,45,16,Horror
2001,Planet of the Apes,18,56,362,Thriller
2001,Rat Race,8,60,85,Adventure
2001,The Princess Diaries,20,65,165,Comedy
2001,Rush Hour 2,11,64,347,Action
2001,Original Sin,12,58,35,Drama
2001,Osmosis Jones,13,59,13,Adventure
2001,American Pie 2,14,60,287,Comedy
2001,Captain Corelli's Mandolin,26,55,62,Drama
2001,American Outlaws,16,57,13,Action
2001,Summer Catch,12,48,19,Drama
2001,Jay and Silent Bob Strike Back,30,64,33,Comedy
2001,Ghosts of Mars,14,48,14,Action
2001,O,1,58,16,Drama
2001,Lovely & Amazing,16,63,4,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
2001,The Musketeer,13,52,27,Action
2001,Knockaround Guys,16,59,12,Crime
2001,Hearts in Atlantis,18,64,24,Drama
2001,The Glass House,15,54,23,Drama
2001,Hardball,8,63,40,Comedy
2001,Ayurveda: Art of Being,22,55,2,Documentary
2001,Glitter,7,34,5,Drama
2001,Zoolander,9,61,60,Comedy
2001,Don't Say a Word,16,60,100,Thriller
2001,Training Day,12,73,104,Action
2001,The Royal Tenenbaums,20,74,71,Comedy
2001,Serendipity,11,66,77,Comedy
2001,Max Keeble's Big Move,21,54,17,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
2001,Corky Romano,12,41,23,Action
2001,Bandits,7,62,67,Action
2001,The Last Castle,15,70,27,Action
2001,Riding in Cars with Boys,24,65,35,Comedy
2001,From Hell,9,66,74,Horror
2001,K-PAX,5,71,50,Drama
Drama,Drama,Drama,Drama,Drama,Drama
2001,Shallow Hal,11,57,141,Comedy
Family,Family,Family,Family,Family,Family
2001,The One,7,57,72,Action
2001,Gosford Park,12,68,87,Drama
2001,Monster's Ball,14,65,44,Drama
2001,The Wash,8,53,10,Action
2001,Harry Potter and the Philosopher's Stone,40,75,976,Adventure
2001,Frailty,7,70,13,Drama
2001,Behind Enemy Lines,18,60,91,Action
2001,Spy Game,8,68,143,Action
2001,Out Cold,8,58,14,Comedy
2001,Novocaine,9,60,2,Comedy
2001,Ocean's Eleven,14,72,450,Thriller
2001,Not Another Teen Movie,22,55,66,Comedy
2001,Vanilla Sky,11,65,203,Drama
2001,Ali,3,67,87,Drama
2001,A Beautiful Mind,16,77,313,Drama
2001,Winged Migration,16,70,20,Documentary
2001,The Lord of the Rings: The Fellowship of the Ring,49,80,871,Adventure
2001,The Majestic,12,66,37,Drama
2001,Jimmy Neutron: Boy Genius,25,56,80,Action
2001,How High,8,63,31,Comedy
2001,I Am Sam,8,72,92,Drama
2001,Black Hawk Down,15,72,172,Action
2002,D-Tox,5,53,6,Action
2002,Secretary,9,67,9,Comedy
2002,The Good Girl,13,61,16,Drama
2002,Narc,4,68,12,Action
2002,The Count of Monte Cristo,25,73,75,Action
2002,The Mothman Prophecies,22,61,55,Drama
2002,A Walk to Remember,18,75,41,Drama
2002,Slackers,8,54,6,Comedy
2002,City of God,11,81,30,Drama
2002,Collateral Damage,17,55,78,Action
2002,Big Fat Liar,12,56,52,Comedy
2002,Queen of the Damned,19,54,45,Drama
2002,Return to Never Land,20,61,109,Adventure
2002,John Q,6,70,102,Drama
2002,Hart's War,10,59,32,Drama
2002,Crossroads,10,47,61,Action
2002,My Big Fat Greek Wedding,24,62,368,Comedy
2002,Dragonfly,9,61,52,Drama
2002,We Were Soldiers,16,67,114,Action
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2002,All About the Benjamins,23,58,25,Action
Family,Family,Family,Family,Family,Family
2002,Resident Evil,13,64,102,Horror
2002,Clockstoppers,13,49,38,Adventure
2002,Blade II,8,62,155,Fantasy
2002,The Rookie,10,65,75,Drama
2002,Panic Room,10,65,196,Crime
2002,National Lampoon’s Van Wilder,31,59,38,Comedy
2002,Barbershop,10,62,75,Comedy
2002,High Crimes,11,61,63,Drama
2002,Big Trouble,11,63,8,Action
2002,Changing Lanes,14,59,94,Action
2002,Bend It Like Beckham,20,62,76,Comedy
2002,The Sweetest Thing,18,53,68,Romance
2002,The Scorpion King,17,53,165,Action
2002,Murder by Numbers,17,60,56,Crime
2002,Life or Something Like It,25,57,16,Comedy
2002,About a Boy,11,66,129,Drama
2002,Spider-Man,10,68,821,Fantasy
2002,Unfaithful,10,63,119,Thriller
2002,Star Wars: Episode II - Attack of the Clones,44,64,649,Adventure
2002,Raising Victor Vargas,21,78,2,Drama
2002,The Spanish Apartment,21,70,3,Drama
Action,Action,Action,Action,Action,Action
2002,Insomnia,8,68,113,Crime
2002,Enough,6,62,51,Drama
2002,Undercover Brother,18,55,41,Action
2002,The Sum of All Fears,20,59,193,Thriller
2002,Bad Company,11,54,65,Action
2002,Windtalkers,11,58,77,Drama
2002,The Bourne Identity,19,73,214,Action
Drama,Drama,Drama,Drama,Drama,Drama
2002,Minority Report,15,71,358,Action
Family,Family,Family,Family,Family,Family
2002,Mr. Deeds,9,56,171,Comedy
2002,Halloween: Resurrection,23,45,37,Horror
2002,Men in Black II,15,60,441,Action
2002,Road to Perdition,17,73,181,Thriller
2002,Reign of Fire,13,60,43,Adventure
2002,Stuart Little 2,15,54,169,Family
2002,K-19: The Widowmaker,20,61,35,Drama
2002,The Crocodile Hunter: Collision Course,38,53,33,Family
2002,Austin Powers in Goldmember,27,59,296,Comedy
2002,Martin Lawrence Live: Runteldat,31,50,19,Comedy
2002,Signs,5,64,408,Drama
2002,Full Frontal,12,48,2,Comedy
2002,Blood Work,10,61,26,Crime
2002,Spy Kids 2: The Island of Lost Dreams,37,53,119,Action
2002,Blue Crush,10,56,51,Adventure
2002,xXx,3,58,277,Action
2002,FearDotCom,10,32,18,Horror
2002,The Adventures of Pluto Nash,28,44,7,Action
2002,Serving Sara,12,50,16,Comedy
2002,One Hour Photo,14,66,52,Horror
2002,Undisputed,10,61,12,Action
2002,Frida,5,73,56,Drama
2002,Far from Heaven,15,69,29,Drama
2002,Swimfan,7,50,34,Drama
2002,City By The Sea,15,57,22,Crime
Action,Action,Action,Action,Action,Action
2002,Phone Booth,11,67,97,Thriller
2002,Moonlight Mile,14,65,10,Romance
2002,Igby Goes Down,14,65,4,Comedy
2002,Men with Brooms,15,45,4,Comedy
2002,Ballistic: Ecks vs. Sever,25,43,19,Action
2002,The Pianist,11,80,120,Drama
2002,Sweet Home Alabama,18,60,180,Comedy
2002,Red Dragon,10,67,209,Crime
2002,Boat Trip,9,47,8,Comedy
2002,The Transporter,15,66,43,Action
2002,Brown Sugar,11,70,27,Comedy
2002,Bowling for Columbine,21,73,35,Documentary
2002,Abandon,7,46,10,Drama
2002,Auto Focus,10,61,2,Drama
2002,Jackass: The Movie,18,61,64,Documentary
2002,Punch-Drunk Love,16,69,17,Comedy
2002,Ghost Ship,10,53,68,Horror
2002,The Santa Clause 2,18,55,172,Fantasy
2002,I Spy,5,52,33,Action
2002,28 Days Later,13,71,82,Horror
2002,Tadpole,7,55,2,Comedy
2002,Femme Fatale,12,62,16,Thriller
2002,8 Mile,6,68,215,Drama
2002,Harry Potter and the Chamber of Secrets,39,74,876,Adventure
2002,Die Another Day,15,58,431,Adventure
2002,The Quiet American,18,64,27,Drama
2002,Friday After Next,17,60,33,Comedy
2002,Treasure Planet,15,72,109,Adventure
2002,Extreme Ops,11,50,10,Action
2002,Equilibrium,11,69,5,Action
2002,Analyze That,12,57,55,Comedy
2002,Adaptation.,11,73,32,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2002,Maid in Manhattan,17,56,154,Comedy
2002,Drumline,8,62,57,Drama
2002,About Schmidt,13,67,105,Drama
2002,Gangs of New York,17,71,193,Drama
2002,Dark Blue,9,65,9,Action
2002,25th Hour,9,72,13,Crime
2002,The Lord of the Rings: The Two Towers,37,80,926,Adventure
2002,Two Weeks Notice,16,59,93,Romance
2002,Hero,4,72,177,Drama
2002,Antwone Fisher,14,67,23,Drama
2002,Catch Me If You Can,19,77,352,Drama
2002,Chicago,7,69,306,Action
2002,The Hours,9,70,41,Drama
2002,Confessions of a Dangerous Mind,31,66,33,Comedy
2003,Oldboy,6,80,14,Drama
2003,Just Married,12,53,101,Comedy
2003,A Guy Thing,11,53,17,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
2003,The Station Agent,17,74,8,Drama
2003,Whale Rider,11,71,41,Drama
2003,Final Destination 2,19,59,90,Horror
2003,Shanghai Knights,16,60,88,Action
2003,The Jungle Book 2,17,56,135,Family
2003,How to Lose a Guy in 10 Days,28,63,177,Comedy
2003,"Good bye, Lenin!",16,74,79,Comedy
2003,The Life of David Gale,22,73,38,Drama
2003,Old School,10,66,87,Comedy
2003,Gods and Generals,17,61,12,Drama
2003,Cradle 2 the Grave,18,58,56,Action
2003,Tears of the Sun,16,64,85,Action
2003,My Life Without Me,18,72,9,Drama
2003,Bringing Down the House,23,54,132,Comedy
2003,The Hunted,10,60,34,Drama
2003,Agent Cody Banks,16,50,58,Action
2003,Dreamcatcher,12,53,75,Drama
2003,The Core,8,54,74,Action
2003,A Man Apart,11,58,44,Action
2003,Johnny English,14,60,160,Adventure
2003,House of 1000 Corpses,21,60,16,Horror
2003,Chasing Papi,12,63,6,Comedy
2003,A Mighty Wind,13,66,18,Comedy
2003,Basic,5,62,42,Action
2003,X2,2,68,407,Adventure
2003,The Lizzie McGuire Movie,24,57,55,Family
Drama,Drama,Drama,Drama,Drama,Drama
2003,Daddy Day Care,14,56,164,Comedy
2003,The Matrix Reloaded,19,67,738,Adventure
2003,Swimming Pool,13,64,22,Thriller
2003,The Barbarian Invasions,23,67,3,Comedy
2003,Bruce Almighty,14,64,484,Fantasy
2003,Wrong Turn,10,60,28,Horror
2003,The Italian Job,15,66,176,Action
Family,Family,Family,Family,Family,Family
2003,2 Fast 2 Furious,16,62,236,Action
2003,Mambo Italiano,14,56,3,Comedy
2003,Hollywood Homicide,18,50,51,Action
2003,The Triplets of Belleville,26,73,1,Adventure
2003,Dumb and Dumberer: When Harry Met Lloyd,39,41,39,Comedy
2003,Alex & Emma,11,50,15,Comedy
2003,Hulk,4,53,245,Drama
2003,From Justin to Kelly,20,30,4,Comedy
2003,Charlie's Angels: Full Throttle,31,52,259,Action
2003,Terminator 3: Rise of the Machines,34,59,435,Action
2003,Sinbad: Legend of the Seven Seas,32,66,26,Family
2003,"Legally Blonde 2: Red, White & Blonde",37,51,124,Comedy
2003,Pirates of the Caribbean: The Curse of the Black Pearl,54,75,655,Adventure
2003,Veronica Guerin,15,68,1,Drama
2003,The League of Extraordinary Gentlemen,37,57,179,Fantasy
2003,Bad Boys II,11,63,273,Adventure
2003,Lara Croft Tomb Raider: The Cradle of Life,42,55,156,Action
2003,Seabiscuit,10,67,148,Drama
2003,Spy Kids 3-D: Game Over,23,47,197,Action
2003,Gigli,5,35,7,Drama
2003,American Wedding,16,60,231,Comedy
2003,Freaky Friday,13,60,110,Comedy
2003,S.W.A.T.,8,58,116,Action
2003,Jeepers Creepers 2,18,55,63,Horror
2003,Freddy vs. Jason,16,58,114,Horror
2003,American Splendor,17,71,6,Comedy
2003,Thirteen,8,67,4,Crime
2003,Marci X,7,33,1,Comedy
Action,Action,Action,Action,Action,Action
2003,Lost in Translation,19,73,119,Drama
2003,Girl with a Pearl Earring,25,64,31,Drama
2003,Intolerable Cruelty,19,58,119,Crime
2003,Touching the Void,17,76,13,Documentary
2003,The Order,9,48,11,Drama
2003,21 Grams,8,72,60,Drama
2003,Love Actually,13,70,244,Comedy
2003,The Visual Bible: The Gospel of John,36,82,4,Drama
2003,Once Upon a Time in Mexico,26,62,98,Action
2003,Underworld,10,66,95,Fantasy
2003,The Rundown,11,64,80,Adventure
2003,Duplex,6,59,19,Action
2003,School of Rock,14,67,131,Comedy
2003,Out of Time,11,61,55,Thriller
2003,Mystic River,12,76,156,Thriller
2003,Elf,3,64,173,Comedy
2003,Kill Bill: Vol. 1,17,77,180,Action
2003,Tarnation,9,75,1,Documentary
2003,Wonderland,10,62,2,Crime
2003,Scary Movie 3,13,58,220,Comedy
2003,Radio,5,68,52,Drama
2003,The Matrix Revolutions,22,64,424,Adventure
2003,Shattered Glass,15,66,2,Drama
2003,Master and Commander: The Far Side of the World,47,69,212,Adventure
Family,Family,Family,Family,Family,Family
2003,Monster,7,70,60,Crime
2003,Gothika,7,58,141,Horror
2003,Honey,5,60,62,Romance
2003,The Haunted Mansion,19,52,182,Thriller
2003,Timeline,8,54,19,Action
2003,Bad Santa,9,65,76,Drama
2003,The Lord of the Rings: The Return of the King,45,81,1118,Adventure
2003,The Last Samurai,16,73,456,Drama
2003,Stuck on You,12,51,33,Comedy
2003,Something's Gotta Give,22,63,266,Drama
2003,House of Sand and Fog,21,70,16,Drama
2003,Cold Mountain,13,67,173,Drama
2003,Cheaper by the Dozen,20,60,190,Comedy
2003,Paycheck,8,59,96,Action
2003,Big Fish,8,76,122,Adventure
2004,Crash,5,72,98,Drama
2004,Torque,6,47,46,Action
2004,Along Came Polly,16,58,171,Comedy
2004,Super Size Me,13,66,28,Documentary
2004,Barbershop 2:  Back in Business,31,56,65,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2004,Win a Date with Tad Hamilton!,29,55,16,Comedy
2004,The Big Bounce,14,50,6,Comedy
2004,Miracle,7,70,64,Drama
2004,Catch That Kid,14,49,16,Family
2004,The Machinist,13,73,8,Thriller
2004,Kung Fu Hustle,14,72,100,Action
2004,Before Sunset,13,76,15,Drama
2004,50 First Dates,14,66,196,Comedy
2004,Confessions of a Teenage Drama Queen,36,51,29,Comedy
2004,EuroTrip,8,65,20,Comedy
2004,Against the Ropes,17,45,6,Romance
2004,Welcome to Mooseport,20,48,14,Comedy
2004,The Passion of the Christ,25,69,611,Drama
2004,Club Dread,10,51,5,Comedy
2004,Starsky & Hutch,15,56,170,Comedy
Action,Action,Action,Action,Action,Action
2004,Secret Window,13,64,92,Thriller
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2004,Dawn of the Dead,16,68,102,Fantasy
Drama,Drama,Drama,Drama,Drama,Drama
2004,Jersey Girl,11,58,36,Comedy
2004,Walking Tall,12,60,57,Adventure
Family,Family,Family,Family,Family,Family
2004,Hellboy,7,65,99,Fantasy
2004,Laws of Attraction,18,56,30,Action
2004,Two Brothers,12,69,62,Adventure
2004,The Whole Ten Yards,19,55,26,Comedy
Action,Action,Action,Action,Action,Action
2004,Johnson Family Vacation,23,47,31,Comedy
2004,The Girl Next Door,18,63,30,Comedy
2004,Shaun of the Dead,17,75,30,Horror
2004,Ella Enchanted,14,59,27,Family
2004,13 Going on 30,14,63,96,Comedy
2004,The Punisher,12,61,54,Action
2004,Kill Bill: Vol. 2,17,76,152,Action
2004,Connie and Carla,16,64,11,Comedy
2004,What the #$*! Do We (K)now!?,28,58,10,Documentary
2004,Man on Fire,11,73,130,Action
2004,Mean Girls,10,69,129,Comedy
2004,Godsend,7,47,30,Drama
Drama,Drama,Drama,Drama,Drama,Drama
2004,Troy,4,69,497,Adventure
2004,Shrek 2,7,67,919,Adventure
2004,House of Flying Daggers,23,71,92,Adventure
2004,2046,4,69,19,Fantasy
2004,The Day After Tomorrow,22,62,544,Action
2004,Raising Helen,13,59,49,Drama
2004,Soul Plane,10,47,14,Romance
2004,Harold & Kumar Go to White Castle,33,66,23,Comedy
2004,Harry Potter and the Prisoner of Azkaban,40,77,789,Adventure
2004,The Stepford Wives,18,54,102,Action
Family,Family,Family,Family,Family,Family
2004,The Chronicles of Riddick,25,63,115,Action
2004,Napoleon Dynamite,17,67,46,Comedy
2004,Mr. 3000,8,50,21,Comedy
2004,Around the World in 80 Days,27,57,72,Action
2004,The Terminal,12,70,219,Comedy
2004,DodgeBall: A True Underdog Story,32,62,167,Comedy
2004,White Chicks,12,63,113,Comedy
2004,The Notebook,12,77,115,Romance
2004,Spider-Man 2,12,67,783,Action
2004,Fahrenheit 9/11,15,68,119,Documentary
2004,Night Watch,11,63,32,Fantasy
2004,Riding Giants,13,76,3,Documentary
2004,Anchorman: The Legend of Ron Burgundy,37,67,90,Comedy
2004,A Cinderella Story,18,61,70,Comedy
2004,"I, Robot",8,67,347,Action
2004,Catwoman,8,42,82,Action
2004,Thunderbirds,12,42,28,Action
2004,The Bourne Supremacy,20,72,288,Action
2004,A Home at the End of the World,30,68,1,Romance
2004,Garden State,12,71,26,Comedy
2004,The Village,11,62,256,Drama
2004,The Manchurian Candidate,24,62,96,Drama
2004,Collateral,10,70,217,Drama
2004,The Princess Diaries 2: Royal Engagement,40,60,95,Comedy
2004,Open Water,10,54,54,Drama
2004,Little Black Book,17,52,22,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
2004,AVP: Alien vs. Predator,23,55,171,Adventure
2004,Without a Paddle,16,53,69,Action
2004,Exorcist: The Beginning,23,47,78,Horror
2004,Anacondas: The Hunt for the Blood Orchid,40,49,70,Adventure
2004,Suspect Zero,12,55,13,Crime
2004,Superbabies: Baby Geniuses 2,28,19,9,Comedy
2004,Vanity Fair,11,55,16,Drama
2004,Wicker Park,11,67,13,Drama
2004,The Sea Inside,14,72,38,Drama
2004,Paparazzi,9,58,16,Action
2004,Cellular,8,61,56,Action
2004,Downfall,8,77,92,Drama
2004,Resident Evil: Apocalypse,25,61,129,Horror
2004,Hotel Rwanda,12,75,38,Drama
2004,Wimbledon,9,60,41,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
Family,Family,Family,Family,Family,Family
2004,Woman Thou Art Loosed,21,50,6,Drama
2004,Layer Cake,10,70,11,Drama
2004,Saw,3,72,103,Horror
2004,Ladder 49,9,62,74,Drama
Drama,Drama,Drama,Drama,Drama,Drama
2004,Shall We Dance?,15,59,170,Drama
2004,Finding Neverland,17,72,116,Drama
2004,The Grudge,10,58,183,Horror
2004,Sideways,8,69,109,Comedy
2004,Alfie,5,56,13,Comedy
2004,Ray,3,72,124,Drama
2004,The Incredibles,15,74,631,Action
2004,District B13,12,65,9,Action
2004,The Polar Express,17,64,305,Adventure
2004,Bridget Jones: The Edge of Reason,33,61,40,Comedy
2004,Seed of Chucky,14,49,24,Drama
2004,Veer-Zaara,10,74,29,Drama
2004,After the Sunset,16,60,61,Action
Family,Family,Family,Family,Family,Family
2004,National Treasure,17,64,347,Adventure
2004,Howl's Moving Castle,20,82,234,Fantasy
Action,Action,Action,Action,Action,Action
2004,The Work and the Glory,22,61,3,Drama
2004,Closer,6,67,115,Drama
2004,Agent Cody Banks 2: Destination London,38,52,28,Comedy
2004,The Phantom of the Opera,24,70,154,Thriller
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2004,Ocean's Twelve,14,64,362,Thriller
2004,The Life Aquatic with Steve Zissou,34,71,34,Adventure
2004,Million Dollar Baby,19,77,216,Drama
2004,The Aviator,11,70,102,Drama
2004,Spanglish,9,58,55,Comedy
2004,Flight of the Phoenix,21,57,21,Action
2004,Meet the Fockers,16,61,516,Comedy
2005,Racing Stripes,14,51,93,Comedy
2005,Hostel,6,57,80,Horror
2005,White Noise,11,56,91,Drama
2005,Elektra,7,48,56,Action
2005,Hard Candy,10,68,7,Drama
2005,Coach Carter,12,73,76,Drama
2005,The Hitchhiker's Guide to the Galaxy,36,66,104,Adventure
2005,Assault on Precinct 13,22,60,35,Thriller
2005,Are We There Yet?,17,52,97,Adventure
2005,Thumbsucker,11,61,1,Comedy
2005,March of the Penguins,21,69,127,Documentary
2005,Hide and Seek,13,61,122,Horror
2005,Alone in the Dark,17,31,10,Action
2005,Imagine Me & You,16,70,2,Drama
2005,Unleashed,9,66,50,Action
2005,The Wedding Date,16,62,47,Comedy
2005,Boogeyman,9,46,67,Thriller
2005,Hitch,5,64,368,Comedy
2005,North Country,13,68,25,Drama
2005,Because of Winn-Dixie,21,61,32,Comedy
2005,Cursed,6,51,19,Horror
2005,The Pacifier,12,58,113,Action
2005,The Jacket,10,68,21,Drama
2005,Be Cool,7,54,95,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
Family,Family,Family,Family,Family,Family
2005,The Ring Two,12,54,161,Drama
