year,title,length,score,sales,genre
1991,The Naked Gun 2½: The Smell of Fear,36,66,86,Comedy
1991,Terminator 2: Judgment Day,26,77,520,Action
1991,Boyz n the Hood,15,74,57,Crime
1991,Return to the Blue Lagoon,25,51,2,Drama
1991,Double Impact,13,53,30,Thriller
1991,Showdown in Little Tokyo,24,57,2,Action
1991,Harley Davidson and the Marlboro Man,36,61,7,Action
1991,Freddy's Dead: The Final Nightmare,34,51,34,Horror
1991,The Fisher King,15,72,41,Comedy
1991,Cape Fear,9,70,182,Crime
1991,The Addams Family,17,67,191,Horror
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1991,Hook,4,66,300,Adventure
1991,JFK,3,75,205,Drama
1991,The Prince of Tides,19,59,74,Drama
Drama,Drama,Drama,Drama,Drama,Drama
1992,Radio Flyer,11,66,4,Drama
1992,Memoirs of an Invisible Man,27,57,14,Comedy
1992,The Lawnmower Man,17,54,32,Horror
1992,My Cousin Vinny,15,73,64,Comedy
1992,Howards End,11,69,25,Drama
1992,Lethal Weapon 3,15,64,321,Adventure
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1992,Patriot Games,13,63,178,Drama
1992,Batman Returns,14,66,280,Action
1992,Boomerang,9,54,70,Comedy
1992,A League of Their Own,21,67,107,Comedy
1992,Death Becomes Her,17,63,149,Fantasy
Action,Action,Action,Action,Action,Action
1992,Raising Cain,12,59,37,Drama
1992,The Crying Game,15,69,62,Romance
1992,Reservoir Dogs,14,80,14,Crime
1992,El Mariachi,11,66,2,Action
1992,Glengarry Glen Ross,19,75,10,Crime
1992,The Last of the Mohicans,24,71,75,Action
1992,Fortress,8,57,6,Action
1992,The Mighty Ducks,16,64,50,Comedy
1992,Dracula,7,71,215,Romance
1992,Malcolm X,9,72,48,Drama
1992,Home Alone 2: Lost in New York,30,63,358,Comedy
1992,The Bodyguard,13,61,411,Thriller
Family,Family,Family,Family,Family,Family
1992,The Muppet Christmas Carol,26,72,27,Comedy
1992,A Few Good Men,14,71,243,Drama
1993,Alive,5,67,36,Action
1993,Groundhog Day,13,74,70,Romance
1993,Teenage Mutant Ninja Turtles III,32,51,42,Action
1993,RoboCop 3,9,42,10,Action
1993,Excessive Force,15,45,1,Action
1993,The Piano,9,71,116,Drama
1993,Menace II Society,17,72,27,Drama
1993,Super Mario Bros.,17,40,20,Adventure
1993,Cliffhanger,11,61,255,Action
1993,Jurassic Park,13,76,920,Adventure
1993,Last Action Hero,16,61,137,Adventure
1993,The Firm,8,66,270,Drama
1993,Hocus Pocus,11,64,39,Comedy
1993,Poetic Justice,14,69,27,Drama
1993,The Fugitive,12,72,368,Adventure
1993,Jason Goes to Hell: The Final Friday,36,42,15,Fantasy
1993,Only the Strong,15,69,3,Action
1993,True Romance,12,75,12,Action
1993,Romeo Is Bleeding,17,57,3,Action
1993,The Age of Innocence,20,70,32,Drama
1993,Airborne,8,61,2,Action
1993,Dazed and Confused,18,74,7,Comedy
1993,Cool Runnings,13,68,154,Comedy
1993,Ruby in Paradise,16,56,1,Drama
Action,Action,Action,Action,Action,Action
1993,The Remains of the Day,22,75,23,Drama
1993,The Nutcracker,14,56,2,Family
1993,Mrs. Doubtfire,14,70,441,Comedy
1993,Schindler's List,16,83,321,Drama
1993,The Pelican Brief,17,63,195,Drama
1993,What's Eating Gilbert Grape,27,75,30,Romance
1993,Philadelphia,12,76,206,Drama
1993,Tombstone,9,74,56,Action
1994,Ace Ventura: Pet Detective,26,64,107,Comedy
1994,On Deadly Ground,16,45,49,Action
1994,Four Weddings and a Funeral,27,66,254,Comedy
1994,The Naked Gun 33⅓: The Final Insult,37,63,51,Comedy
1994,Serial Mom,10,64,7,Comedy
1994,The Inkwell,11,39,8,Comedy
1994,PCU,3,60,4,Comedy
1994,The Crow,8,73,94,Fantasy
1994,Beverly Hills Cop III,21,55,119,Action
1994,The Flintstones,15,50,341,Fantasy
1994,Renaissance Man,15,59,24,Comedy
1994,Speed,5,68,350,Action
1994,The Lion King,13,80,788,Family
1994,Wyatt Earp,10,65,25,Drama
1994,The Shadow,10,54,48,Adventure
1994,Baby's Day Out,14,58,16,Action
1994,Forrest Gump,12,82,677,Comedy
1994,True Lies,9,68,378,Action
1994,The Client,10,64,117,Drama
1994,The Mask,8,66,351,Romance
1994,Clear and Present Danger,24,64,215,Action
1994,Heavenly Creatures,18,70,3,Drama
1994,Hoop Dreams,11,77,7,Documentary
1994,Clerks,6,74,3,Comedy
1994,Timecop,7,55,101,Thriller
1994,The Shawshank Redemption,24,85,28,Drama
1994,Ed Wood,7,73,5,Comedy
1994,Don Juan DeMarco,16,62,22,Romance
1994,The Specialist,14,55,170,Action
1994,Pulp Fiction,12,83,213,Thriller
1994,New Nightmare,13,64,18,Horror
1994,The Santa Clause,16,63,189,Fantasy
1994,Interview with the Vampire,26,72,223,Horror
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1994,A Low Down Dirty Shame,22,60,29,Action
1994,Highlander: The Final Dimension,31,45,36,Action
1994,Disclosure,10,59,214,Drama
1994,Legends of the Fall,19,72,160,Adventure
1994,Dumb and Dumber,15,65,247,Comedy
1994,Street Fighter,14,41,99,Action
1995,Before Sunrise,14,77,5,Drama
1995,Rumble in the Bronx,19,65,32,Crime
1995,The Quick and the Dead,22,63,18,Action
1995,Outbreak,8,63,189,Action
1995,Tank Girl,9,55,4,Action
1995,Jefferson in Paris,18,52,2,Drama
1995,Bad Boys,8,65,141,Action
1995,Rob Roy,7,65,31,Adventure
1995,Friday,6,70,28,Comedy
1995,The Perez Family,16,66,2,Comedy
1995,Crimson Tide,12,70,157,Action
1995,Die Hard: With a Vengeance,26,69,366,Action
1995,To Die For,10,67,21,Fantasy
1995,Tales from the Hood,19,54,12,Crime
1995,Braveheart,10,77,210,Action
1995,Casper,6,60,287,Fantasy
1995,The Bridges of Madison County,29,73,182,Drama
1995,Batman Forever,14,52,336,Action
1995,Congo,5,50,152,Action
1995,Pocahontas,10,67,346,Adventure
1995,Apollo 13,9,73,355,Drama
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1995,First Knight,12,59,127,Action
1995,Under Siege 2: Dark Territory,29,56,104,Action
1995,Babe,4,60,254,Fantasy
1995,The Usual Suspects,18,81,23,Drama
1995,Waterworld,10,59,264,Adventure
1995,The Net,7,56,110,Crime
1995,Kids,4,68,7,Drama
1995,Virtuosity,10,54,24,Action
1995,Mortal Kombat,13,54,122,Action
1995,Desperado,9,68,25,Thriller
1995,Hackers,7,62,7,Action
Action,Action,Action,Action,Action,Action
1995,Showgirls,9,49,20,Drama
1995,Se7en,5,81,327,Crime
